PuzzleId	FEN	Moves	Rating	correct_answer	timed_out	time_elapsed
YYwVH	5rk1/1p2bppp/p2p4/2rBpP2/6R1/2P5/Pq3PPP/1R1Q2K1 b - - 1 18	c5d5 g4g7 g8g7 d1g4	1538			
RdmCk	r4rk1/p4ppp/2p5/1p2B1n1/3PP1q1/2P5/P1Q3PP/R4RK1 w - - 1 19	f1f4 g5h3 g1h1 h3f4	1524			
pqxLn	1r6/p3kpp1/2p1pnp1/2Pp2q1/3P4/P3PPnP/4B3/R2QBR1K w - - 1 22	e1g3 g5g3 f1f2 g3f2	1537			
BA1Uz	6k1/pp3pbp/3P2p1/2B4n/7P/2P2P2/PP2rP2/2KR4 b - - 0 24	e2e8 d6d7 e8d8 c5e7 g7f6 e7d8 f6d8 d1e1	1507			
oGC3m	r7/pbp1k1QB/1Pn1p3/3p4/P2P4/q1P1P1P1/6P1/1R2K3 b - - 3 26	e7d6 g7c7	1493			
1yL4w	2kr3r/2q1bp2/p3b1p1/2p1p2n/2p1P3/P3QR2/1PBBN1PP/5RK1 b - - 1 23	h5f6 f3f6 e7f6 f1f6	1481			
RfQGz	r4rk1/1p1q1pp1/p1pp1n1p/4p3/PPP1N3/3PQ1Pb/4PPBP/R3R1K1 b - - 2 19	f6g4 g2h3 g4e3 h3d7	1476			
AlttT	6k1/4n2p/p3N1pQ/1p2np2/4q3/2P4P/PP3PP1/6K1 b - - 0 30	g8f7 e6g5 f7e8 g5e4	1520			
s0FnQ	4Nq2/1pp1n1r1/p1kpp1PQ/4p3/P3P3/3P4/1PP5/2K3R1 b - - 10 31	e7g8 h6g7 f8g7 e8g7	1494			
NtgGa	8/7p/1p2k3/p1pnP3/8/2B4P/PPPK4/8 b - - 1 29	d5c3 d2c3 e6e5 c3c4 e5f4 c4b5	1546			
ujXSJ	8/1K5p/1P1k4/6p1/6P1/2p4P/8/8 w - - 0 51	b7a7 c3c2 b6b7 c2c1q b7b8q c1c7 a7a8 c7b8	1543			
2IKkw	3r1k1r/Q3bpp1/4p3/3p4/PP1B1Pnp/2P2NPq/R6P/5RK1 w - - 0 23	d4f2 g4h2 a7e7 f8e7	1536			
r4mD8	2q2rn1/ppb2p1k/2p3p1/4P2p/1PQ5/8/1PP1R1PP/5R1K b - - 2 36	c8e6 c4e6 f7e6 f1f8	1470			
4nUc0	r2qk1r1/4b1pp/p2p4/1pp2b2/3np3/2P4P/PP1Q1PPN/RNB1K2R b KQq - 0 13	d4c6 d2d5 g8f8 d5c6	1534			
UjhK2	8/6k1/3p2pb/pBnPp2p/1p1pPP1P/1P3KP1/P2B4/8 b - - 12 36	g7f6 f4e5 d6e5 d2h6	1459			
q6IDy	2kr3r/1pp3p1/8/1Pb1Np1p/2b5/8/1P3pPP/R1B2R1K b - - 5 23	c4f1 a1a8	1535			
dIKnY	r3rk2/pbpn1pp1/1p5p/3q4/3P1PN1/2PB1Q2/P5PP/4RRK1 w - - 0 19	d3e4 e8e4 e1e4 d5e4 f3e4 b7e4	1489			
UWbrs	r1bqkb1r/pp1ppppp/2n2n2/6B1/3N4/8/PPP1PPPP/RN1QKB1R w KQkq - 3 5	e2e3 d8a5 d1d2 a5g5	1483			
nR6Yy	6k1/p1p1r1pp/1p3p2/3p1P2/2q5/2P3Q1/1R4PP/2B4K w - - 2 31	h2h3 c4f1 h1h2 f1c1	1490			
KSrF7	5rk1/5ppp/8/p7/P4Q1P/1r4PK/2q5/2R2R2 b - - 1 37	c2d3 f4f7 f8f7 c1c8 d3d8 c8d8 f7f8 f1f8	1475			
o3HPk	r2q1bk1/1p3p1n/p1n3N1/4pB2/4b3/3P2QP/PPP2PP1/R4RK1 b - - 0 20	e4f5 g6e7 g8h8 g3g8	1538			
Ngzin	1k4r1/ppp3qp/4p1n1/5r2/3pQB2/N5P1/PPP2P1P/R3R1K1 w - - 7 20	g1h1 g6f4	1547			
nJb8C	4rr1k/pp2b1p1/n4n2/8/1P2p3/P2qP1P1/1BQ2PBP/2R2RK1 w - - 2 24	g2e4 d3e4 c2e4 f6e4	1452			
njYeB	r1b1k1nr/pp1p1pb1/4p3/2p5/7p/1PN5/PBPP1R1P/R2QKBq1 b Qkq - 3 14	g7d4 f2g2 g1g2 f1g2	1535			
MkG5A	r2q1rk1/4Bp2/5np1/p2p4/2pPP1P1/2Nn1Q2/P4PP1/1R2R1K1 b - - 0 21	d3e1 f3f6 d8e7 f6e7	1464			
ZifDV	r1bq3r/ppp1k1pp/2nb1p2/3p1Q2/3Pp2N/1P2P3/PBP2PPP/RN2K2R w KQ - 4 11	f5d5 d6b4 c2c3 d8d5	1513			
pJbr3	2r3k1/R5p1/5pPp/3bN2P/2p2P2/6K1/5P2/8 w - - 0 34	e5d7 c4c3 d7b6 c3c2	1515			
EHbWZ	r5k1/3r1pb1/pB1Np1p1/3nP2p/5P2/P6P/1P4P1/2R2RK1 w - - 1 29	b6d4 d7d6 e5d6 g7d4	1525			
RZNRI	8/4qb1k/7P/1P6/Q2p4/2p5/3B1PP1/6K1 w - - 0 49	d2c1 e7e1 g1h2 e1c1 a4d4 c1h6	1523			
fyhHP	3r2k1/4bppp/2r1pn2/p7/3P4/P1N5/1B3PPP/2RR2K1 b - - 1 20	f6d5 c3d5 c6c1 d5e7	1499			
jiw11	r4k1r/pp2bpp1/5q1p/1B3b2/8/1P3N2/P4PPP/R2QR1K1 b - - 5 20	a8d8 d1d8 e7d8 e1e8	1503			
4dNNf	r4rk1/3b1pb1/p2ppqp1/2p1n2p/2P1P2P/3P2P1/P3BPN1/1RBQ1RK1 b - - 0 19	d7c6 c1g5 e5f3 e2f3	1472			
YsZmf	r4rk1/1pp3qp/3p2b1/p1nP3B/2P1p3/2N5/PP1Q1P2/2KR3R b - - 1 20	f8f2 d2f2 c5d3 d1d3	1490			
oS2ss	r1b1nbk1/1p6/3p4/3Pp3/PB2q2n/5p2/1Q1N3P/2R2B1K b - - 1 31	e4d5 f1c4 c8e6 c4d5 e6d5 h1g1	1500			
I0HMS	3r2k1/5p1p/ppRr1qp1/1p1P1b2/5N2/5P2/PP1Q2PP/3R3K w - - 2 31	d1c1 d6c6 c1c6 f6c6	1455			
137kC	6k1/3b2p1/1p2r1Qp/1Pp1qp2/2P5/R2P1B2/5B2/7K w - - 1 35	f3d5 e5d5 c4d5 e6g6	1456			
hgZyw	2r2rk1/1bqp2p1/p3p1Qp/1p2P3/1P6/P1N5/2B2bPP/R3R2K b - - 1 21	c7c3 g6h7 g8f7 c2g6 f7e7 h7g7 e7d8 g7f8	1485			
Iri2h	8/2R5/5pkp/P1p1p3/8/1P2B2r/3K2p1/8 w - - 0 53	a5a6 h3e3 d2e3 g2g1q	1451			
1RDYk	8/3k4/7R/4p3/Pp2Pp1p/5PpP/1rB1K1P1/8 w - - 5 54	e2d1 b4b3	1459			
grqPE	r2qk3/pp3p2/2b5/2p1Pp2/3p1B2/3P2p1/PPPNQ1P1/R3N1Kr w q - 2 21	g1h1 d8h4 h1g1 h4h2 g1f1 h2h1	1514			
7LWgy	3r1r2/2p2pkp/p1p2np1/3bNPQ1/8/1P4N1/P1q3PP/R4RK1 w - - 1 21	f5g6 c2g2	1474			
FjYl3	r1bqk2r/pp2b3/2p2nQ1/n7/4P3/2P5/P4PPP/RNB2RK1 b - - 0 16	e8d7 f1d1 d7e6 d1d8	1520			
4OmA8	r4rk1/pp2ppbp/2np1np1/8/1q4b1/P1N1BN2/1PP1BPPP/R2Q1RK1 b - - 0 14	b4b2 c3a4 b2a1 d1a1	1530			
zyxVf	2kr1b1r/1ppqppp1/p7/3Nn2p/1P2P3/P4b1P/B4PP1/R1BQR1K1 w - - 0 16	g2f3 d7h3 d5b6 c7b6	1541			
5Nwas	2k4r/ppqNn3/2n1p3/1B1p1pr1/3P3P/8/PP3P2/2RQ1RK1 w - - 0 22	h4g5 c7h2	1463			
fUOAd	3r4/1p1q3k/2p2Qp1/p1P2p1p/P3p2P/1B2P1P1/5PK1/8 b - - 4 36	d8e8 b3f7 e8g8 f7g8 h7g8 f6g6	1546			
B3a5p	5r1k/ppq3pp/2b1pr1n/3pN3/3P2P1/P2N2QP/5P2/1R2R1K1 b - - 5 27	h6f7 e5g6 h7g6 g3c7	1500			
nU5fx	8/p3k1pp/4r3/2pQp3/Pp1bNp2/1P1P1P1q/2P1R3/5RK1 w - - 2 33	f1f2 e6g6 e4g5 g6g5	1475			
Vdgrb	r4r2/1p1q2k1/3pnpp1/p2Pp3/6QP/2N5/PPP5/2KR3R b - - 0 21	f6f5 d5e6	1501			
RHaHG	2kr1b1r/1p1npppp/pq3n2/8/2Q2B2/N1P2P2/PP3P1P/2KR1B1R b - - 2 13	b6c6 c4c6 b7c6 f1a6	1500			
G36V7	8/4p1k1/3pn1R1/2pP3n/2P1P3/p4K2/3q4/6R1 b - - 0 40	g7f7 d5e6 f7f8 g6g8	1457			
qqiig	r2qk2r/pb1pn1pp/1p3p2/2b1N1B1/8/2N5/PPP2PPP/R2QR1K1 w kq - 0 12	e5d7 d8d7 d1d7 e8d7	1541			
OJNyZ	4k3/5n1p/4r3/1p2P3/2b1QP1B/7P/1P4P1/qN4K1 b - - 2 28	a1b2 e4a8 f7d8 a8d8	1495			
hWpKB	7Q/5p2/4p3/pR5p/2R1Bkpq/8/6PK/8 w - - 12 48	h2g1 h4e1 g1h2 g4g3 h2h3 e1h1	1500			
Vq1h1	r3r3/1bp1qpkp/pb3pnN/1p2p3/8/P2PB2P/BPP2PP1/R2Q1RK1 w - - 8 19	h6f7 b6e3 f2e3 e8f8	1476			
ZZDof	r3k1nr/ppp2ppp/2n2q2/6B1/2BpP1b1/P4N2/1P3PPP/R2Q1RK1 b kq - 2 10	g4f3 g5f6 f3d1 f6g7	1536			
rm4Jo	3rr3/pb4k1/1p6/2p2Q2/2P1RP2/1P4P1/P6P/5K2 b - - 0 44	e8e4 f5g5 g7f7 g5d8	1464			
FD0TG	r1b1kb1r/1p4p1/p3p2p/P1p1q3/B1P5/8/6PP/2BQ1RK1 b kq - 1 20	c8d7 d1d7	1464			
kUCEG	3r2k1/pbp2ppp/1p2p3/1N2P3/3r4/P7/1P2BPPP/R4K2 b - - 10 20	b7a6 b5d4 a6e2 d4e2	1501			
CFeBs	r2qkb1r/n4pp1/1pn1p2p/pNppP2P/3P3R/2PQ1N2/PP3PP1/R1B1K3 w Qkq - 5 14	h4g4 c5c4 d3d1 a7b5	1494			
AJOuj	3r1k2/pb2rp2/1p1pn1p1/4q3/4P1Q1/1B4N1/5PP1/2R1R1K1 b - - 1 29	e5f4 b3e6 f4g4 e6g4	1518			
Y4Abk	7k/1b3rp1/2p4p/1pP2B2/3n1NPq/p2Q3P/5PK1/R7 b - - 10 31	d4f5 f4g6 h8g8 g6h4	1497			
qXVKz	3r2k1/p2P1rbp/4q1p1/2p1N3/1p2QP2/1P4P1/P6P/R2R2K1 b - - 0 32	f7d7 d1d7 d8d7 e4a8 g7f8 e5d7	1548			
yFwKA	2r2br1/3k1p1p/p1qN1p2/8/1p3P2/6P1/PPP1Q2P/1K1RR3 b - - 0 23	f8d6 e2e7	1465			
HkWQ4	r2qkbr1/p1p5/2pp1p1p/4p3/2P4N/2NP4/PP3Pb1/R2QK1R1 b Qq - 1 15	g2f3 h4f3 g8g1 f3g1	1482			
ekpVe	3r3k/p5p1/2p4p/P7/4B2q/BQP5/P4rPb/R4R1K w - - 1 26	f1f2 h2g3 h1g1 g3f2	1526			
Fq1Qg	r1br2k1/1p4p1/p2Bpb1p/2p5/2Pn4/P4N2/1P1RBPPP/1R4K1 w - - 4 18	d6c5 d4f3 e2f3 d8d2	1462			
6mw9g	r1bq1rk1/3nppbp/2pp3B/pp4Qp/2B1P3/2NP1P2/PPP3P1/R3K1N1 b Q - 1 12	e7e5 g5g7	1495			
RW866	r2q1r1k/2pb2pp/p2p4/1p4bQ/4P3/1BP4P/PP2RPP1/2R2NK1 w - - 3 19	c1e1 g7g6 h5g5 d8g5	1499			
da1v0	2r3k1/5p1p/6p1/1P5r/P3Pb2/5P2/PR2B1P1/1R4K1 w - - 4 30	b5b6 f4e3 g1f1 h5h1	1537			
zYGRC	r1bq1rk1/2p1bppp/p3pn2/1P6/1npP4/5NP1/1PQ1PPBP/RNBR2K1 w - - 1 11	c2c4 a6b5 a1a8 b5c4	1506			
piuJr	r1bqk1nr/pp3ppp/2nbp3/8/3PP3/8/P1P2PPP/RNBQKBNR w KQkq - 0 6	f1b5 d8a5 b1d2 a5b5	1515			
kOkzD	6k1/5pp1/2RB4/8/2K2P2/1PP3rp/8/8 w - - 0 41	f4f5 h3h2 d6g3 h2h1q	1479			
RNZMc	3r1k2/pp3pR1/7p/2RnqN2/8/1PP4P/1PQ2PPK/4r3 w - - 3 31	g2g3 e1e2 g7f7 f8f7	1538			
wvoWA	5rk1/1p1rRBp1/1bp3Np/p4p1q/P7/2P3Q1/1P3PP1/6K1 b - - 0 35	f8f7 e7e8 f7f8 e8f8 g8h7 f8h8	1521			
m3N0k	6k1/5pp1/2p1p3/1n1pP2p/1Q3P2/4qNK1/6PP/8 b - - 5 34	b5d4 b4d4 e3d4 f3d4	1504			
vt5fI	rnbq1rk1/5ppp/p4b2/1Np5/2B5/8/PPPP2PP/R1BQ1RK1 w - - 0 14	b5c3 d8d4 g1h1 d4c4	1502			
MTrLA	1r1qk2r/pb1pbppp/1p6/4Q3/1nP5/6P1/PP2NPBP/R1B1K2R w KQk - 3 13	e5g7 e7f6 g7h8 f6h8	1522			
nEAr3	r2q2k1/5p1p/1pp3pB/3p4/3P1Q1b/2P3P1/P3RP2/6K1 b - - 0 25	h4f6 e2e8 d8e8 f4f6 e8f8 h6f8	1453			
FHfM8	R5nr/1rqk1pp1/4p1p1/3pPnB1/3P4/2P2P2/3Q2PP/R5K1 b - - 7 29	f5e7 g5e7 g8e7 a8h8	1480			
pROj6	3r1rk1/p4pb1/2p1b1pp/q1P1n3/Np2P3/1P6/P1QBB1PP/3R1R1K w - - 1 22	a2a3 d8d2 c2d2 e6b3 a3b4 a5a4	1500			
LeTYm	6k1/2pq1ppp/1p1p2n1/8/1PPPQn2/5N1P/5PPB/6K1 b - - 0 27	d7e6 e4a8 g6f8 h2f4	1459			
VRb9H	2bq3k/r2nb1pB/1p2p3/p1p3B1/3P4/2PQ1r2/P4PPP/R2R2K1 w - - 0 18	g5e7 f3d3 e7d8 d3d1 a1d1 h8h7	1499			
c93ve	r5k1/pppq1pbp/6p1/3PpbB1/2P1N3/P2Q4/1P3PPP/4R1K1 w - - 2 19	g5f6 f5e4 d3e4 g7f6	1460			
Vpvpw	rn1qk2r/pp3ppp/2pbp3/4Nb2/3P1Q2/2N5/PPP3BP/2KRR3 b kq - 2 12	f7f6 f4f5 e6f5 e5c6	1525			
W1QBd	8/p3rk1p/2r5/b1p2p2/2b1PP2/P1N2K1P/1PP2B2/1R4R1 w - - 2 35	c3d5 f5e4 f3e3 c4d5	1493			
Jdymc	r3k1nr/pp2ppbp/2n3p1/3pP3/1q1P4/4BP2/PP1NBP1P/1R1QK2R b Kkq - 0 11	c6d4 a2a3 d4f3 e2f3	1481			
yW1jf	5r1k/pp3p1p/2pq1p2/3pn1r1/3RP1N1/1P3Q1P/P4PP1/R5K1 w - - 1 25	f3f6 d6f6 g4f6 e5f3 g1f1 f3d4	1453			
OkD3s	2R5/p2k4/2p2ppr/q3p3/4n3/2b3Q1/P3NPPP/5RK1 w - - 1 26	g3g4 f6f5 g4f3 d7c8	1548			
F8rwy	3R4/4r1bk/6p1/2P1np2/4p1p1/6QP/1r1N1PK1/8 b - - 1 40	e4e3 g3h4 g7h6 h4e7	1506			
B8ql0	rn2kbnr/pp3ppp/2p5/4p3/4q3/1Q6/PP1PBPPP/RNB1K2R b KQkq - 1 9	e4g2 e2f3 g2g6 b3b7	1476			
M0nQf	6k1/Q7/8/3p3R/3PPrK1/1P6/P6q/8 w - - 1 37	g4g5 h2g3 g5h6 f4f6	1494			
r68QU	r2q1rk1/ppp3pp/2n5/4Pb2/3p4/P2B1N2/1P2QPPP/2KR3R b - - 3 16	d8d5 d3c4 f5e6 c4d5	1537			
ayBmt	3r4/R7/1p1k1p2/1Pb1q3/6Q1/4p3/3p1PPP/3R2K1 w - - 0 42	f2e3 e5e3 g1h1 e3e1 d1e1 d2e1q	1522			
o0tbS	2kr3r/pbpq1pbp/1pnp1np1/4p3/3P1B2/2PBPN1P/PP1NQPP1/2KR3R w - - 0 11	d4e5 d6e5 d3a6 e5f4	1493			
s0u54	k7/1p6/p1p1q3/P4RP1/R2pPBNr/1P1P4/2P3K1/4b3 w - - 5 46	g4e5 h4f4 f5f4 e6e5	1494			
ZGPEA	7k/p4R1p/4B1p1/6P1/8/r6P/3r1P1K/8 b - - 0 40	d2e2 f7f8 h8g7 f8g8	1500			
FbZcu	1q6/5pkp/b5p1/1NRpr1n1/PP2p3/4P1P1/4QPBP/6K1 w - - 3 29	f2f4 e4f3	1466			
eGgov	r1b2rk1/3n1ppp/3qpn2/1p1pN3/p1pP4/2P1PN2/PPQ1BPPP/R4RK1 b - - 5 13	d7e5 d4e5 d6e7 e5f6	1535			
pEvbp	1k1r4/pN2rppp/2p5/3q4/Q2P4/4nP2/PP4PP/2R1R1K1 b - - 0 22	b8b7 a4b4 b7c8 b4e7	1459			
J3pFG	4R3/4P1pk/5r1p/7P/6P1/4Kn2/8/8 b - - 0 53	f3e5 e8h8 h7h8 e7e8q h8h7 e8e5	1528			
Cbgnm	8/3nk1p1/1p5p/pP6/PrN5/4PKPP/3R4/8 w - - 5 45	d2d4 b4c4 d4c4 d7e5 f3f4 e5c4	1495			
BDafH	2k1r3/ppp3p1/2bb4/7p/5P2/2N3P1/PPP2K1P/R4R2 w - - 1 19	c3e2 d6c5 f2e1 c6b5	1504			
48rjc	r2qk2r/pppbbppp/2n5/1B1pP3/3Nn3/8/PPP2PPP/RNBQ1RK1 w kq - 1 9	f2f4 c6d4 b5d7 d8d7	1517			
0OSCi	2n1r1k1/2B2rbp/p4pp1/2q5/2p5/2N3Q1/PPP3PP/3R1R1K w - - 0 32	d1d5 c5c7 g3c7 f7c7	1543			
QyfdV	2kr1b1r/pp2pp1p/n7/4B1p1/3pn3/5N2/PPP2PPP/3RK2R b K - 1 14	f8g7 e5g7	1500			
bKBSD	r7/5qkp/p2p2p1/1p6/2p4Q/P1P5/1P4PP/4R1K1 b - - 3 28	a8f8 e1e7 g7g8 e7f7	1497			
Cq1iZ	r2qkb1r/ppp4p/2bpPp2/5np1/3N4/8/PPP2PPP/RNBQ1RK1 b kq - 3 11	f5d4 d1h5 e8e7 h5f7	1510			
hZDRf	r1q1r1k1/1ppbn1b1/p2p2P1/3PBp1Q/1PP5/P2pP3/5PP1/2R1K2R b K - 1 24	g7e5 h5h7 g8f8 h7f7	1456			
5UnW2	k6r/R4pp1/1p1Qp3/p7/2P1qP2/4BnPp/PP3PBP/7K b - - 3 30	a8a7 d6b6 a7a8 b6a7	1479			
8Xm5w	r3r1k1/1p4pp/p4pq1/3p1n2/5N2/5R2/PP1Q1KP1/R7 b - - 5 34	g6h6 d2d5 g8h8 d5f5	1541			
denkI	r1bq1rk1/1pb3pp/p1n5/4pp2/1PP1p3/P3P2P/1B1NBPP1/R2Q1RK1 w - - 2 16	d1b3 d8d2 c4c5 g8h8	1529			
hL4yq	R4k2/5ppp/1Q2p3/1p1pq3/1Pr3P1/2P4P/1P3P2/6K1 b - - 1 28	f8e7 b6d8	1540			
JAfWW	1nr1k3/2rq2Qp/4p3/1p1b1pp1/1P6/4P1PP/1BR2P2/2R3K1 w - - 4 39	g7d7 e8d7 c2c7 c8c7 c1c7 d7c7	1497			
Er2Ts	r5k1/1p3ppp/5qb1/1P1p4/1Q2n3/3BP3/r1N2PPP/2R2RK1 b - - 0 24	f6c3 d3e4 c3b4 c2b4	1543			
kurEd	5rk1/pp3pp1/2p1r3/3p3P/3Pn3/1P2q2B/P1Q1N3/5KRR w - - 8 27	h3e6 e3f2	1505			
JXHtP	rnb1q1k1/p3prb1/3p1nQB/1p4N1/2pP4/2P1P3/PP1N1PPP/2KR3R w - - 3 14	g5e6 c8e6 h6g7 f7g7 g6e8 f6e8	1509			
9Rdd7	8/3p2k1/2b3p1/p5r1/1PQ5/8/P4P2/6K1 w - - 1 40	g1f1 c6b5 c4b5 g5b5	1499			
4Ow2H	3rr3/4k1R1/p3p2p/1bnpNp2/5P2/1PP5/P5PP/1B4K1 b - - 9 36	e7f6 g7f7	1472			
onYbh	2kr3r/2p1q2p/1nP2p2/3Pp1p1/5n2/1Q6/1P3PPP/R3R1K1 b - - 0 22	d8d5 a1a8 b6a8 b3b7 c8d8 b7a8	1549			
zh6vs	6r1/p1kn3R/1p1q4/2p2QP1/7P/P2P4/8/6K1 b - - 0 38	g8f8 h7d7 d6d7 f5f8	1500			
PMHC3	r1bqr1k1/ppp2p2/3p2pB/3P4/2P3n1/2P5/P2QP2P/2KR1BR1 b - - 0 18	g4f2 d2d4 e8e5 d4f2	1514			
s04dF	rn1qr1k1/p3bppp/5n2/2pbN2N/1p6/3B4/PPP2PPP/R1BQR1K1 b - - 2 15	f6h5 d1h5 g7g6 e5g6	1530			
jKC3J	r4rk1/ppqn1pp1/2p1pb1B/3nN2N/3P2Q1/8/PPP2PPP/R3K2R b KQ - 2 15	d7e5 h5f6 d5f6 g4g7	1464			
NVlJ0	r3k2r/3b1p2/1p1R1p1p/8/PpB5/4PN2/5PPP/2K5 b kq - 0 23	a8a4 d6d7 e8d7 c4b5 d7e7 b5a4	1524			
D06hC	2rr2k1/p4pp1/3p3p/1pq5/2bQP3/P4PB1/6PP/2RR2K1 w - - 2 24	g3d6 d8d6 d4c5 d6d1 c1d1 c8c5	1547			
ueIXV	8/5k2/2p1pp1p/3pP3/P1P3Q1/3P4/R5K1/4r2r w - - 2 39	g4f3 e1g1 g2f2 g1f1	1454			
rzBTp	8/3r1p2/3k4/1pp1RP2/p4K2/P1P5/1P6/8 b - - 2 45	d7e7 e5e7 d6e7 f4e5	1518			
qIs8g	5rk1/p1p2p2/3p2p1/3B1P2/3qP3/6Q1/P1r5/6RK b - - 0 28	c2c3 g3g6 d4g7 g6g7	1540			
4rmGF	2r1r1k1/5pp1/1N4qp/p4n2/1b1P1P2/3P4/PP1Q1BPP/4RRK1 w - - 1 23	e1e8 c8e8 d2c2 g6b6	1460			
GcjFa	5rk1/pp1Q1ppp/8/8/3R4/4r3/PPq3PP/5R1K b - - 0 21	e3e2 d7f7 f8f7 d4d8 e2e8 d8e8 f7f8 f1f8	1464			
2G5Gq	4r1r1/n4p2/1p3Bpk/pPp5/P1P2Q2/7P/2B1qPPK/8 b - - 1 51	h6h7 f4h4 e2h5 h4h5	1469			
cALIF	rq3rk1/2p2pb1/1p1p1npB/pPnPp2p/P1P1P3/4QB1P/4NPP1/R1R3K1 b - - 3 20	f6e4 h6g7 g8g7 f3e4	1467			
8cPmC	r1bq1rk1/ppp2pp1/1bnp3p/3Np3/1PB1n3/P2P1N1P/2P2PP1/R1BQ1RK1 b - - 0 10	e4g3 d5b6 a7b6 f2g3	1515			
QOt2q	8/1pr3pk/1p4rp/4Rbq1/5p2/1BP2Q1P/PP3PP1/R5K1 w - - 0 25	b3e6 g6e6 e5e6 f5e6	1540			
l8GvK	4r1k1/ppq2ppp/2nb4/3B2B1/1P6/PQ6/5PPP/R5K1 w - - 0 21	d5f7 c7f7 b3f7 g8f7	1527			
5Qg5B	2rr2k1/p5pp/1ppq1p2/5P2/3P1N2/2Q5/bP4PP/4RR1K b - - 1 22	d6d4 e1e8 d8e8 c3d4	1526			
