PuzzleId	FEN	Moves	Rating	correct_answer	timed_out	time_elapsed
YyUxx	r4rk1/pp1nbppp/2p1p1b1/q7/2BP1B2/2N4P/PPP1QPP1/R4RK1 w - - 8 14	c4e6 f7e6 e2e6 f8f7	2185			
G5VXe	8/8/2k5/1pPp3p/p2P4/P1K4P/3B4/6n1 b - - 7 60	g1h3 d2e3 c6b7 c3b4 b7a6 c5c6 a6b6 c6c7 b6c7 b4b5 c7d7 b5a4	2205			
gEMmg	4k3/3p4/3Pp1Pp/3q3P/2R5/1KP5/P2N4/8 b - - 3 42	d5d6 c4c8 e8e7 g6g7 d6d2 g7g8q d2d5 c8c4	2219			
qqYoh	4r3/ppk2Np1/7p/2R5/1P6/4n3/P5PP/6K1 b - - 1 26	c7b6 f7d6 e8f8 d6c8 f8c8 c5c8	2216			
Rv3QV	5rk1/p4p2/2Q3p1/1B5p/1b1B2PP/4p3/q1P5/2KR3R w - - 0 24	d4b2 b4a3 c6g6 f7g6 b5c4 a2c4	2167			
a2dsq	1k4r1/ppp3q1/2n3r1/7p/3pR1PQ/P2Pp2P/1PP5/2B1R1KN w - - 0 27	c2c3 h5g4 h3g4 c6e5	2238			
T34Ow	3rkb2/5p1p/p3pP2/np6/1Pq1BP2/2P2Q1P/P1r5/R4R1K w - - 3 35	b4a5 c2c3 f3g2 d8d2 g2d2 c4e4 h1h2 c3c2	2178			
1TXij	6rk/p2R2pp/5p2/2p5/8/1P4QP/q3r1P1/3R2K1 b - - 3 30	a7a5 d7g7 e2e8 g7h7 h8h7 d1d7	2186			
nszJ3	6q1/2pQ2p1/3b3k/4pN2/4P1P1/3P3P/p6K/8 b - - 3 39	h6g6 f5e7 g6h7 e7g8 a2a1q g8f6	2242			
1oTw1	8/p7/6p1/1p1pkp1p/1P5P/P2KPPP1/8/8 b - - 1 43	a7a6 d3c3 d5d4 e3d4	2216			
HM0VU	3r1k1r/1p6/p1p3pp/3Bp3/7q/Q1P1P2P/PPKN1nP1/5R2 b - - 1 23	f8g7 g2g3 h4g5 d2e4	2196			
8vKgA	r4k2/1p2bp2/pB1p1q2/2PPp3/QP4rp/8/P4PP1/R4RK1 w - - 0 23	a4d7 f6f3 d7g4 f3g4	2244			
a0kOS	2b2rk1/1r2ppb1/1qNp2p1/p2P2Bp/1p5P/1P3P2/PP1Q2P1/1K1RR3 w - - 6 20	g5e7 c8f5 b1a1 f8a8 e7d6 a5a4	2248			
KDFmf	1k1r4/p1p2p1p/1p6/5qp1/2P1Nn2/3rRQ1P/PP3PP1/4R1K1 b - - 0 23	h7h5 e3d3 d8d3 e4d6 d3d6 e1e8 f5c8 e8c8	2237			
VS87f	4rrk1/ppbn3p/2p1q1p1/3p2Bn/3P4/2PQ1RPP/PPB1N3/5RK1 w - - 0 22	g3g4 e6e2 d3e2 e8e2 f3f8 d7f8	2213			
vlzSI	2r4r/ppk1p3/3qRb2/5Q2/5R2/2P4P/PP4P1/7K b - - 6 39	d6d7 e6f6 e7f6 f4c4 c7b8 f5d7	2219			
srSBa	r5k1/pp2q1pp/2pp2B1/2b2p2/2P2P2/1P4QP/PB1N1PP1/4rRK1 w - - 0 23	f1e1 e7e1 g1h2 h7g6 g3g6 e1e7 d2f3 e7f7	2174			
OpgCc	8/1p5k/7p/1P1p4/1P4p1/P3RrP1/4K3/8 b - - 2 44	f3e3 e2e3 h7g7 a3a4	2218			
kdgJ0	2b2r2/2p2q1k/1pPP1bpp/1P2p3/4P3/r1N1BPRp/7P/3RQ2K b - - 0 32	f6h4 d6d7 h4g3 e1g3 c8d7 d1d7	2177			
1FiIX	5r2/p2rk2p/6p1/4q3/3b3Q/4P3/PP3PPP/R4RK1 b - - 8 24	g6g5 e3d4 g5h4 d4e5	2159			
f7ows	4rb2/r1q2p1k/2p1PQ1p/p2p3B/8/6R1/PPP3PP/6K1 b - - 0 26	c7e7 h5g6 f7g6 f6g6 h7h8 g6g8	2183			
yapI8	8/8/p7/2pk1pKp/6pP/6P1/1P3P2/8 b - - 1 38	c5c4 g5h5 a6a5 h5g6 a5a4 h4h5 a4a3 b2a3	2215			
3TasD	8/pp6/2p2P2/2kp4/8/3qr3/P5QP/5R1K b - - 0 43	e3e2 f6f7 e2g2 f7f8q	2191			
uu9Y9	2r3k1/1b6/p1q1p1Pp/5p2/pQP2P2/P2Pb1N1/1P2R1P1/7K b - - 0 30	e3f4 b4e7 c8c7 e7d8 g8g7 g3h5 g7g6 h5f4	2157			
f6iQx	6nr/2pk1ppp/Q1p5/4p2q/1PP4N/4PPP1/1B1r3P/R4K2 b - - 4 24	d2b2 a1d1 d7e7 a6c8	2248			
8LBOj	1r5k/p1p3np/6pB/5p2/2B5/2P2PPb/P3P2P/3R2K1 w - - 1 24	d1d7 b8b1 g1f2 b1f1 f2e3 f5f4 h6f4 h3d7	2171			
9nNlK	r2q1rk1/pppbbpp1/2n2p1p/1BN5/3P4/5N2/PPP2PPP/R2Q1RK1 b - - 6 10	d7g4 c5b7 d8d5 c2c4 g4f3 c4d5	2172			
aozQC	k2r2r1/p3p2p/2p2pp1/8/1R1N4/5R2/PPb3P1/7K b - - 0 26	c2e4 d4e6 d8d1 h1h2	2151			
ACyaP	3q1rk1/pB1bb1pp/3B1p2/8/3Q3P/5P2/PPr3P1/R3K2R w KQ - 0 19	b7d5 g8h8 d5e4 e7d6	2226			
FlFjU	r1b1k2r/ppp2pp1/8/3P2p1/2B1n3/8/PP1NKPq1/R1BQR3 w kq - 0 16	d2e4 c8g4 e2d2 g4d1 c4f1 g2h2	2165			
4YGdk	2kr1b1r/ppp1p3/5p2/3q1n2/5P1p/5N2/PPQ2PPN/R3R1K1 b - - 5 21	h4h3 a1d1 d5b5 a2a4	2206			
XnqJx	r2b1rk1/1p3p1p/pPb1q1p1/2RNPp2/3P4/1N3Q2/1P4PP/5RK1 b - - 4 23	d8b6 c5c6 b7c6 d5b6	2245			
59Gqz	8/4b3/6K1/4N1p1/1p3p2/2k2P1P/2P3P1/8 w - - 2 49	e5d3 b4b3 d3b4 b3b2	2188			
oVYDA	1k1r3r/2p1Rnpp/Bp3p2/p1qb4/P7/5N1P/2P1QPP1/1R4K1 b - - 4 21	g7g5 c2c4 d5c6 e7f7	2241			
ylX6g	2r2rk1/p4q1p/Pp2R1p1/2b5/4Q3/8/1B3PPP/5RK1 w - - 1 29	e4e5 c5f2 g1h1 f2d4 f1f7 d4e5	2153			
PcQQr	6k1/ppQ3p1/4p3/6Kp/8/6R1/P5rq/R7 w - - 2 28	c7c8 g8h7 g3g2 h2g2 g5f4 g2f2	2208			
w8KJa	8/8/8/1kNp4/3P1pP1/p4K1P/8/8 w - - 0 43	g4g5 b5c4 f3f4 a3a2 c5e6 a2a1q	2191			
SIZff	1k1r3r/5p2/Q3b3/3pP3/1P1q1p1p/P7/6PP/2R2R1K b - - 0 26	d8d7 c1c5 d7b7 a6d6	2206			
Aq1GV	2r3k1/1p3ppp/p7/4b3/P2p4/1P5R/2r1NPPP/3R1K2 w - - 0 24	e2d4 c2c1 h3d3 c1d1 d3d1 c8d8	2176			
Gt3lX	8/8/1Q4k1/5p1p/1P4P1/7q/4K3/8 b - - 0 51	g6g5 b6e3 h3e3 e2e3 f5f4 e3f2	2215			
SmzaA	4r1k1/1b1r1pb1/p1N1P1pp/2qP1p2/2P4P/3R4/P4PP1/2Q1R1K1 b - - 0 27	d7d6 e6f7 g8f7 e1e8 b7c6 e8c8	2170			
2dWsi	6k1/2r2p1p/p3b1p1/Pp1p1p2/1P6/2q1P1P1/3Q1PBP/3R2K1 w - - 0 26	g2d5 c3d2 d1d2 c7d7 d5e6 d7d2	2177			
WU9DE	2r3k1/pp4pp/q2pb3/6P1/5r1P/P2PQ3/1PP4N/1K5R b - - 0 23	c8c2 e3e6 f4f7 h1f1 c2b2 b1b2	2220			
1z6BU	r1b5/1pR4p/4p1pk/p2nN3/P2P4/1B6/6PP/7K b - - 8 31	b7b6 e5f7 h6g7 b3d5 e6d5 f7d6	2238			
lKcOf	1kb1r3/p5Q1/1p6/PPpP2pq/2P1P1n1/3B4/3N4/4KR2 w - - 5 36	f1f7 g4e5 d3e2 h5f7	2207			
v8zzT	2kr1r2/q4ppp/p1Q1pn2/8/8/1p6/PP3PPP/R3R1K1 b - - 0 21	c8b8 e1e3 a7e3 f2e3	2183			
xP84q	1k1q3r/pp2b3/5N2/3pPQ2/7r/1P5P/P5K1/2R3N1 b - - 0 32	d8a5 f5c8 h8c8 f6d7 b8a8 c1c8	2209			
jj109	r3k2r/p1qb1p1p/4p1p1/P1pp4/1b6/4BN2/5PPP/1RQ2RK1 b kq - 1 20	a8b8 e3f4 c7a5 f4b8	2248			
VWgpG	5R2/7r/1P5P/8/4p3/4kpK1/8/8 w - - 0 56	f8e8 f3f2 e8f8 h7h8 f8h8 f2f1q	2232			
vISqp	r1r2k2/2bn1p2/5n2/5N2/1p1P4/2P4P/BP3PP1/R2R2K1 w - - 0 31	c3c4 a8a5 a2b3 a5f5	2243			
a4u2Y	8/8/8/1k2p1p1/p2p2P1/3K1P2/2N5/8 w - - 1 48	c2a3 b5b4 a3c4 a4a3 c4e5 a3a2 e5c6 b4a4 c6d4 a2a1q	2233			
2xlDu	5r2/7R/p2p2n1/1p1Pp3/1P2Pp1p/P4Nk1/5qP1/3Q3K w - - 4 35	f3h4 f4f3 h4f5 f8f5 h7h3 g3g4	2157			
xEMvF	2bR1rk1/pp5p/6p1/8/1P1QP3/2P3qP/6B1/7K b - - 4 30	c8h3 d8f8 g8f8 d4h8 f8e7 h8h7	2199			
8JVOu	8/1k6/8/p2r1PR1/1p2K3/8/1P6/8 b - - 1 50	d5d2 f5f6 d2e2 e4f3	2171			
SU5zX	r4rk1/pbbN1ppp/1pp4q/8/3P4/1B6/PP3PPP/R2Q1RK1 w - - 2 17	g2g3 f8d8 d7e5 c7e5	2164			
nut7m	2kr3r/ppp1q1pp/8/4np2/6b1/2NBB3/PPP1N3/R2QK2R w KQ - 0 15	e1g1 e5d3 c2d3 e7e3	2202			
M24eS	1r2q1k1/2Q2bbp/6p1/1p1p4/1PnP2B1/2P1P2P/6P1/R1B3K1 b - - 0 37	c4e3 g4d7 e8d8 c7d8 b8d8 c1e3 d8d7 a1a8 f7e8 a8e8	2233			
MFB1j	3r3r/1p1k1np1/2pp3p/8/Q3n3/3qB3/5PPP/R4RK1 b - - 1 25	g7g5 f1d1 d8a8 d1d3 a8a4 a1a4	2189			
nOIpX	8/5pk1/6p1/2pP4/2PbK1P1/3Q1B2/8/4q3 w - - 6 55	f3e2 f7f5 g4f5 e1h4	2184			
iU0AJ	8/4rppk/2q4p/p1pQpP2/2P1P3/P3P1RP/7K/8 b - - 2 39	c6c7 f5f6 e7d7 g3g7 h7h8 d5a8 d7d8 g7f7 c7f7 a8d8	2222			
zHCG5	r3nk2/6b1/p2pQ1p1/2pPp1P1/1P6/P7/3BRK2/R6q b - - 2 29	h1a1 f2g2 a1d4 e2f2 d4f2 g2f2	2184			
JOFWn	3r1k2/p3n2p/1ppqB3/3P1pr1/1P2pR2/P1Q3P1/4P1K1/8 b - - 0 29	c6d5 c3f6 f8e8 f6f7	2198			
iDEoH	1Q6/pb1r2pk/6p1/8/8/4B3/Pq3PPP/3R2K1 w - - 4 28	d1e1 b2e2 h2h3 e2e1	2201			
NOP7c	8/4rpk1/p2Q2p1/2p1r3/2B5/3P2qb/PPP3P1/4RRK1 w - - 3 24	f1f7 g7h6 e1e2 h3g2 d6e5 e7e5	2200			
xGFk2	8/5P1p/4n3/2p5/1k2K3/N2P4/7P/8 b - - 0 42	b4a3 e4d5 e6f8 d5c5 a3b3 d3d4	2156			
flGPj	5r1k/p1p5/Pp1p4/3Pb3/P6p/5BqP/2Q2KP1/4R3 w - - 8 44	f2f1 f8f3 g2f3 g3f3 c2f2 f3f2 f1f2 e5g3 f2f1 g3e1	2197			
4xVm9	3q2rk/1pr4p/p3bp2/3p4/3P4/PB1Q3P/1PP3P1/R4RK1 w - - 1 23	c2c3 c7g7 g1h1 g7g3 f1f3 g3g2	2206			
awrVi	r1bqk2r/ppp2ppp/8/2bpn3/8/2NB4/PP2QPPP/R1B1K2R b KQkq - 1 11	d8d6 f2f4 c8g4 e2e5 d6e5 f4e5	2238			
HFEMG	r1b2rk1/pp2np1p/2n3p1/2ppq3/7N/2PP2P1/PP2BP1P/RN1QR1K1 b - - 0 13	c8h3 e2f1 h3g4 f2f3 g4f3 h4f3	2154			
P8cYu	4r1k1/pp4p1/2p1q3/3rPN2/3P1R2/3Q4/PP4PP/6K1 b - - 0 29	e6e5 f5h6 g7h6 d3g6 e5g7 g6e8	2169			
1Qr8z	r2q1n1k/pp3p1p/3p1Np1/2pP4/2Pn4/2Q2N1P/PP3PP1/4R1K1 w - - 2 20	e1e8 d8f6 e8a8 d4e2 g1h2 e2c3	2154			
RNc8a	r1bqr1k1/2b2ppp/p1p2n2/1p1p4/1P1NP3/P2P4/B2B1PPP/R2QR1K1 b - - 1 17	c7h2 g1h2 f6g4 h2g1	2193			
9eejA	r7/ppk3b1/2p3b1/1N2p1B1/2P1q2P/2PR4/PPK2Q2/8 b - - 3 32	c6b5 f2c5 e4c6 c5e7 c7b8 e7d8 c6c8 d8d6 c8c7 d6g6	2218			
M7xPV	8/6p1/5p2/4k2p/7P/4NKP1/5P2/8 w - - 2 42	e3f5 e5f5 f3g2 f5e4	2193			
QirLL	r1br2k1/2N2ppp/p3p3/2b5/4n3/1BR1PN2/Pn1BKPPP/7R w - - 2 17	c7a8 d8d2 f3d2 e4c3	2156			
dOXqb	8/7R/4bk2/6p1/8/2K2p1P/1P6/8 w - - 0 47	h7h6 f6g7 h6e6 f3f2	2244			
cNd7J	r1b2rk1/pp2p2p/1n2Pppb/3p4/1PP5/P2B1Nq1/1B2K3/R2Q2R1 b - - 1 20	g3f4 b2c1 f4d6 c1h6 d6e6 e2f2	2201			
RSKoD	2k1r3/1pq4p/2pb1p2/2npnPp1/N7/P1B4P/1PPQB2P/1K2R3 w - - 5 31	c3a5 c5e4 a5c7 e4d2	2216			
3i1mt	5b1k/8/7p/p6P/2P2pP1/PP3P2/8/5K2 w - - 1 48	b3b4 f8b4 a3a4 h8g7 f1e2 g7f6	2239			
Xquo6	r4k1r/3p1pb1/pp3B1p/5p2/7Q/1P6/P3q1PP/R5K1 b - - 0 23	h8g8 h4b4 d7d6 b4d6 f8e8 d6c6	2204			
IHPzk	4r2k/pp4pp/8/1q2Np2/1n1P1Nn1/4r1P1/PP1Q4/R1BK3R w - - 4 22	e5g4 b5a4 b2b3 e3b3	2247			
8qHRN	4r1k1/5pp1/1b5p/1p2pP2/1n2P1QN/3qp1N1/6PP/3R3K b - - 1 29	d3c2 g3h5 c2d1 g4d1 e8a8 h2h3	2157			
AmN3A	r3r3/ppp3p1/1bn2n1p/4N3/2P1kB2/5NPB/PP2K2P/4R3 b - - 6 24	c6e5 f3d2 e4d4 f4e3	2233			
WV7Fk	r4rk1/pB5p/np4p1/1Np1b1q1/3P4/PP1Q2nP/1B3R2/R5K1 w - - 0 25	d4e5 g3e2 g1h1 f8f2 d3d5 g8f8	2153			
V5hq0	3qr1k1/pp3pb1/6p1/3ppbP1/2B4Q/2P1Bp2/PP6/R3K2R b KQ - 0 22	d5c4 h4h7 g8f8 e3c5 e8e7 h7h8 g7h8 h1h8 f8g7 h8d8	2174			
u8MO0	7k/6pp/2pr4/1p5B/4br2/2R5/PP4PP/4R1K1 b - - 1 30	d6f6 g2g3 f4f5 e1e4	2174			
mHGoF	r3k2r/pp1b1ppp/7q/3PpP2/3pP3/P7/P2K2PP/R1BQ1B1R w kq - 3 15	d2d3 d7b5 d3c2 b5a4 c2b2 h6b6 d1b3 a4b3	2153			
QHnim	2r2rk1/1R5p/p1p1p1p1/q1b4n/2QpP3/6PP/P3NPB1/1R4K1 b - - 0 27	d4d3 c4e6 g8h8 e6d7 c8c7 b7c7	2159			
amruP	8/5pp1/2k1p2p/3pP2P/3PP1P1/4K3/8/8 b - - 2 48	f7f6 e5f6 g7f6 e4e5	2189			
AAe9C	4r1k1/ppp2pp1/5B1p/8/1Q1N2q1/P1P5/5PK1/R7 w - - 1 23	g2f1 g4h3 f1g1 g7f6	2239			
TtF0S	2kr2r1/1p6/p2pp2p/8/1Qp5/3qB1P1/PP3P2/2R1K3 b - - 3 29	g8g3 b4c4 d3c4 c1c4 c8d7 f2g3	2155			
MG0Kn	4r2k/pQp3p1/4Pr1p/2q3p1/4R3/8/PPP3PP/4R1K1 w - - 3 24	g1h1 e8f8 b7a6 c5c6 a6a7 f6f1 a7g1 f1g1	2199			
dY7PX	5rk1/p1pn1ppp/3p3P/3Q1P2/2B5/q7/6P1/5R1K b - - 0 27	g7g6 f5g6 h7g6 f1f7 a3c1 f7f1	2212			
zrszm	3r4/pp1k1p2/4p3/4Q3/2N5/1P3b2/P4qBp/4R2K w - - 0 27	e5b5 d7c8 c4b6 a7b6 e1c1 c8b8	2195			
BcMUT	5r2/6pp/p7/2ppk3/4p2N/1P6/P1P1R1PP/6K1 w - - 0 31	e2f2 f8f2 g1f2 g7g5 h4f3 e4f3 f2f3 e5d4 f3e2 d4c3	2234			
ZlX7b	5r2/5pk1/p1r3p1/1p1pPPq1/1PnP3N/P2R4/5Q2/5RK1 w - - 1 30	d3g3 g5h4 f5f6 g7h7 g3g2 h4f2	2161			
